simulation_num,trial_index,t,pair,choice,reward,process,EV_A_Dir,EV_B_Dir,EV_C_Dir,EV_D_Dir,EV_A_Gau,EV_B_Gau,EV_C_Gau,EV_D_Gau
1,234,4.98210597208428,"('C', 'B')",B,0.4300109046939101,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,235,4.98210597208428,"('B', 'D')",B,0.3373604373862561,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,236,4.98210597208428,"('C', 'B')",B,0.1527867855001141,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,237,4.98210597208428,"('C', 'A')",A,0.6051364225572279,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,238,4.98210597208428,"('A', 'D')",D,0.10910922339749002,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,239,4.98210597208428,"('C', 'B')",B,0.49552950815909974,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,240,4.98210597208428,"('A', 'D')",D,-0.024629443947798535,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,241,4.98210597208428,"('C', 'A')",A,0.47495616796364265,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,242,4.98210597208428,"('C', 'A')",A,0.6913903957330778,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,243,4.98210597208428,"('A', 'D')",D,-0.1253708305638323,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,244,4.98210597208428,"('C', 'B')",B,0.20115713226528212,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,245,4.98210597208428,"('C', 'B')",B,0.21364467999408443,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,246,4.98210597208428,"('A', 'D')",D,0.5438277552630844,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,247,4.98210597208428,"('A', 'D')",D,-0.2433454699647325,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,248,4.98210597208428,"('C', 'A')",C,0.8250014125125751,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,249,4.98210597208428,"('A', 'D')",D,-0.16651800665796684,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
1,250,4.98210597208428,"('C', 'A')",C,1.0389548410910152,Dir,0.007027899051516928,0.6556996524487586,0.006400340419393893,0.3308721080803311,0.0,0.31323872798071484,0.0,0.30244959220308737
2,1,1.0766151555031107,"('A', 'B')",B,0.1754769311890009,Dir,0.006606865448978337,0.6591583774945393,0.006240734999139105,0.32799402205734285,0.0,0.3124135477509437,0.0,0.29134180558175443
2,2,1.0766151555031107,"('A', 'B')",B,0.35813400371569554,Dir,0.006249733103934404,0.6625573646171984,0.006531718536521094,0.3246611837423475,0.0,0.31460073776404607,0.0,0.288980923970205
2,3,1.0766151555031107,"('C', 'D')",C,0.6735053095004644,Dir,0.006136511434918514,0.656988607119685,0.013253411872570346,0.32362146957282595,0.0,0.31107871222452577,0.33380883355755453,0.2835268257536516
2,4,1.0766151555031107,"('A', 'B')",A,0.5932538238122388,Dir,0.013311980443523316,0.6543104001776725,0.012126079955268,0.32025153942353646,0.29020581305787513,0.3076928482079261,0.35407308429506024,0.29115260331500453
2,5,1.0766151555031107,"('A', 'B')",B,0.44049526771385594,Dir,0.012395017468936419,0.65490666871334,0.01286661085802804,0.31983170295969593,0.2838424780448217,0.3165418540596766,0.31937239697322445,0.27678792323339046
2,6,1.0766151555031107,"('A', 'B')",B,0.1809512762347256,Dir,0.012471234871434594,0.657759702053089,0.012929559119022594,0.316839503956454,0.3097608210556145,0.3104893866439573,0.348161105832783,0.262766906831317
2,7,1.0766151555031107,"('A', 'B')",B,0.4272493904875257,Dir,0.012336345087116141,0.6590425529100244,0.012564347144198575,0.3160567548586603,0.30338021446553487,0.31465578370254316,0.3256449598226104,0.2905896141195213
2,8,1.0766151555031107,"('A', 'B')",B,0.3983424884831956,Dir,0.012033032595858403,0.6627213803023171,0.012270051984948498,0.3129755351168765,0.2965637095488874,0.31185912572866853,0.3394903217195831,0.29181872302778783
2,9,1.0766151555031107,"('A', 'B')",B,0.3519860578907406,Dir,0.011747286345971636,0.666616240368561,0.012497981466941985,0.30913849181852515,0.2811590313061088,0.3096551891763938,0.3447409442295816,0.2985142579466826
2,10,1.0766151555031107,"('A', 'B')",B,0.41134553930811407,Dir,0.012331693395210393,0.6668477563025323,0.011821997131093191,0.3089985531711632,0.29293561992514033,0.3126457108227452,0.33817631438287726,0.28051603371791517
2,11,1.0766151555031107,"('C', 'D')",D,-0.24290399790556305,Dir,0.012763182455982104,0.6628894552775988,0.011947106935506489,0.3124002553309125,0.2897549744444894,0.3124447030531651,0.3422234772350498,0.291479606284015
2,12,1.0766151555031107,"('A', 'B')",B,0.2661394215883247,Dir,0.01185939302336848,0.6647058017222518,0.011388227703058895,0.31204657755132037,0.28717087871833286,0.3108027192681856,0.34254757464148033,0.2828840860940258
2,13,1.0766151555031107,"('C', 'D')",D,0.24395287719366182,Dir,0.011636168293599895,0.6619937338688212,0.011701970648137754,0.3146681271894408,0.28212425083333836,0.3143355689614676,0.3304671749142123,0.28088801701245386
