param_1,param_2,param_3,condition,model
0.6621154199999999,0.5524241,-1.43023411,HV,actr
0.03300771999999996,0.86447715,-0.16083996,HV,actr
0.32205107999999993,0.48114673,-1.43457543,HV,actr
0.56320125,0.50364857,-1.07946408,HV,actr
0.47277285,0.50110743,-0.63776885,HV,actr
0.48534568,0.46255282,-0.32753926,HV,actr
0.40906606999999995,0.0309038,-0.15690209,HV,actr
0.0008597200000000083,0.11941203,-0.04772717,HV,actr
0.05989961999999993,0.23610298,-0.89345997,HV,actr
0.88825743,0.36654035,-0.57154216,HV,actr
0.04571225999999995,0.58933457,-1.64072851,HV,actr
0.70728243,0.04854143,-0.51599992,HV,actr
0.76634401,0.13633802,-1.73833095,HV,actr
0.75047911,0.25243262,-0.28647108,HV,actr
0.58880362,0.30510687,-0.99055997,HV,actr
0.11784413999999999,0.42309201,-0.15785423,HV,actr
0.06767566000000003,0.07814683,-0.20151065,HV,actr
0.7121517799999999,0.35170199,-1.50523436,HV,actr
0.00013076000000000754,0.2085728,-0.64196012,HV,actr
0.89760677,0.1956479,-0.14535825,HV,actr
0.77062088,0.14591817,-1.32293192,HV,actr
0.54529807,0.95023513,-1.63207571,HV,actr
0.92629632,0.55982285,-0.99369745,HV,actr
0.6694275999999999,0.17907396,-0.1864634,HV,actr
0.74911338,0.24193233,-1.5288649,HV,actr
0.81826448,0.07765933,-0.85093091,HV,actr
0.03904012999999995,0.97138514,-0.31778707,HV,actr
0.7614129199999999,0.06266994,-0.78560951,HV,actr
0.47873031999999993,0.70409199,-1.02182604,HV,actr
0.74812176,0.53736959,-0.10456714,HV,actr
0.8326286199999999,0.01956126,-1.3706064,HV,actr
0.61395192,0.53484258,-1.52476929,HV,actr
0.7407307999999999,0.64135008,-1.76098486,HV,actr
0.7157172599999999,0.18042349,-1.41356521,HV,actr
0.71162624,0.05955331,-0.2512909,HV,actr
0.7442766999999999,0.41113714,-1.45950235,HV,actr
0.65930164,0.12150148,-0.80039034,HV,actr
0.88909103,0.38442035,-0.44036661,HV,actr
0.04852391999999994,0.40389996,-0.25069459,HV,actr
0.77302475,0.0517004,-1.19850143,HV,actr
0.82870817,0.29331293,-1.46809424,HV,actr
0.73970442,0.6497586,-1.07729764,HV,actr
0.24735648999999993,0.29157947,-0.78094016,HV,actr
0.81036729,0.58768111,-1.74911132,HV,actr
0.029612850000000024,0.79383027,-1.72774842,HV,actr
0.66737282,0.4148009,-1.12093741,HV,actr
0.81410971,0.95283819,-1.9244981,HV,actr
0.11088206999999994,0.27931628,-0.14453995,HV,actr
0.926561,0.39171487,-1.87801641,HV,actr
0.77891651,0.43517799,-1.35303528,HV,actr
0.90368709,0.9372673,-0.43416628,HV,actr
0.26165432999999994,0.14964717,-0.09421221,HV,actr
0.37311510999999997,0.30046549,-1.67403973,HV,actr
0.7804926,0.45493639,-0.14109188,HV,actr
0.7518709699999999,0.76630233,-1.98869846,HV,actr
0.015796249999999956,0.82924411,-1.78612105,HV,actr
0.60225912,0.29185187,-1.26662588,HV,actr
0.09688527000000002,0.52581116,-1.77845961,HV,actr
0.65528933,0.05797449,-1.84617643,HV,actr
0.26691076,0.70933585,-0.93336187,HV,actr
0.6341386899999999,0.96655044,-1.3469583,HV,actr
0.76008146,0.69275813,-1.58701524,HV,actr
0.57652016,0.34503353,-0.47463291,HV,actr
0.71714015,0.56082138,-1.98449533,HV,actr
0.87384849,0.50527358,-1.17488571,HV,actr
0.53085357,0.35354488,-1.56992218,HV,actr
0.82226309,0.16913525,-1.05458308,HV,actr
0.81602862,0.57398233,-1.20579423,HV,actr
0.79252032,0.65592943,-1.64205452,HV,actr
0.78673364,0.512457,-0.80281228,HV,actr
0.12958004999999995,0.80285348,-1.04631478,HV,actr
0.7915556499999999,0.81278306,-1.59921682,HV,actr
0.054911370000000015,0.5047592,-0.66925209,HV,actr
0.86577838,0.10700912,-0.17663861,HV,actr
0.45018611,0.60938411,-1.82514516,HV,actr
0.9358579,0.13952716,-1.74275758,HV,actr
0.5976343399999999,0.58174337,-0.63943548,HV,actr
0.7130457299999999,0.49880839,-1.73241711,HV,actr
0.56204811,0.91850189,-0.99461377,HV,actr
0.19580747999999992,0.16312336,-1.48199134,HV,actr
0.23361502,0.78168525,-0.87543628,HV,actr
0.2948592099999999,0.71678575,-0.58967554,HV,actr
0.36748426,0.29297947,-1.30537052,HV,actr
0.695536407,0.00108732975,-1.44772706,HV,actr
0.0,0.7421309,-0.11306519,HV,actr
0.82564227,0.00822981,-0.21176231,HV,actr
0.08611590000000002,0.5923138,-0.86935182,HV,actr
0.39039778,0.8753258,-1.70702478,HV,actr
0.69762103,0.27721772,-1.74037214,HV,actr
0.7788823,0.19232699,-1.30829609,HV,actr
0.19075600999999998,0.83784846,-1.93506505,HV,actr
0.9187027299999999,0.42157444,-1.67352019,HV,actr
0.55221396,0.42757771,-0.95747275,HV,actr
0.7805049399999999,0.1616337,-1.1077707,HV,actr
0.32122142,0.81624657,-0.08634211,HV,actr
0.7169748499999999,0.87034377,-0.66929508,HV,actr
0.27289043999999996,0.73011456,-0.73617557,HV,actr
0.62829996,0.37904502,-1.52118687,HV,actr
0.37555326999999994,0.17547822,-0.09186313,HV,actr
0.7117578899999999,0.56704191,-1.32858348,HV,actr
0.90803285,0.90197435,-1.19743237,LV,actr
0.80610619,0.8455957,-1.60856926,LV,actr
0.8877950299999999,0.14776754,-0.66612903,LV,actr
0.86939039,0.33563162,-1.69662109,LV,actr
0.91866079,0.15109788,-1.93760409,LV,actr
0.92520433,0.92593555,-0.87367539,LV,actr
0.9359828,0.97764706,-1.39001113,LV,actr
0.8926396799999999,0.65024446,-1.19140168,LV,actr
0.90655904,0.06083169,-1.28345567,LV,actr
0.8946849299999999,0.83638997,-0.68837734,LV,actr
0.9495069199999999,0.93326387,-0.51085673,LV,actr
0.92541463,0.958545,-0.07157798,LV,actr
0.94517874,0.51542672,-1.87187957,LV,actr
0.89100541,0.83301412,-1.98047997,LV,actr
0.8391831,0.32689771,-1.37786685,LV,actr
0.82362645,0.28985301,-1.34040362,LV,actr
0.89768991,0.05114094,-0.4621645,LV,actr
0.93310693,0.45367066,-1.54786341,LV,actr
