AIC,BIC,condition,model
199.927482876062,210.49186562964871,LV,actr
261.4265788403948,271.9909615939816,LV,actr
171.92251161512397,182.4868943687107,LV,actr
97.36080783808202,107.92519059166877,LV,actr
141.65640234442398,152.2207850980107,LV,actr
66.7119264542163,77.27630920780304,LV,actr
114.83497587283252,125.39935862641929,LV,actr
172.17835373241618,182.7427364860029,LV,actr
178.6932695372363,189.25765229082305,LV,actr
219.0895474488483,229.65393020243505,LV,actr
160.17582542476677,170.7402081783535,LV,actr
134.88479049996874,145.44917325355547,LV,actr
205.6230666893448,216.18744944293155,LV,actr
259.3554031920731,269.91978594565984,LV,actr
214.3887338900965,224.9531166436832,LV,actr
216.8793016573328,227.4436844109195,LV,actr
237.7361817826832,248.30056453626992,LV,actr
326.09117037047247,336.6555531240592,LV,actr
172.7045322870253,183.26891504061203,LV,actr
164.31274724833366,174.8771300019204,LV,actr
291.040281314862,301.6046640684488,LV,actr
231.31958468865287,241.88396744223965,LV,actr
189.98987641014944,200.5542591637362,LV,actr
350.4403207756265,361.00470352921326,LV,actr
244.90206126336489,255.4664440169516,LV,actr
197.90042677976285,208.4648095333496,LV,actr
223.26974523229012,233.83412798587688,LV,actr
256.9249942189043,267.4893769724911,LV,actr
140.659165824852,151.22354857843874,LV,actr
360.5121305254736,371.0765132790603,LV,actr
342.97137981961856,353.5357625732053,LV,actr
216.49587369194288,227.0602564455296,LV,actr
156.0672680930933,166.63165084668003,LV,actr
115.95391923676084,126.51830199034758,LV,actr
168.43847065996144,179.00285341354817,LV,actr
310.4434287487756,321.0078115023624,LV,actr
210.7475670765959,221.31194983018264,LV,actr
136.49127799274171,147.05566074632844,LV,actr
114.5829378372886,125.14732059087534,LV,actr
215.72954255899248,226.2939253125792,LV,actr
233.06286908422692,243.62725183781367,LV,actr
324.82489109679386,335.3892738503806,LV,actr
149.5441599706502,160.10854272423694,LV,actr
168.18406840350733,178.74845115709405,LV,actr
137.04978274468826,147.614165498275,LV,actr
184.9811498662156,195.54553261980237,LV,actr
182.7796849872172,193.34406774080392,LV,actr
296.48284076694137,307.0472235205281,LV,actr
178.74077288921342,189.30515564280012,LV,actr
386.3776323467415,396.9420151003282,LV,actr
160.744463281901,171.30884603548773,LV,actr
226.2405588652373,236.804941618824,LV,actr
250.24093562326647,260.8053183768532,LV,actr
168.75463971318663,179.31902246677336,LV,actr
158.12418979962894,168.68857255321566,LV,actr
182.49577722028363,193.0601599738704,LV,actr
192.36553613706224,202.929918890649,MV,actr
284.5253703620781,295.0897531156649,MV,actr
202.59859350829493,213.16297626188165,MV,actr
343.6997645032125,354.2641472567993,MV,actr
233.5863978285592,244.1507805821459,MV,actr
247.11503737948308,257.6794201330698,MV,actr
305.6015203501124,316.1659031036991,MV,actr
208.0007151950629,218.5650979486496,MV,actr
248.58113030175457,259.1455130553413,MV,actr
239.9339661745996,250.4983489281863,MV,actr
344.3725701175257,354.9369528711125,MV,actr
183.98451345195053,194.5488962055373,MV,actr
299.9328108817163,310.49719363530306,MV,actr
316.3766990395158,326.94108179310257,MV,actr
241.03607792418504,251.60046067777176,MV,actr
211.30877326369827,221.873156017285,MV,actr
230.245670229412,240.81005298299868,MV,actr
139.2483465820613,149.81272933564802,MV,actr
252.46028074570776,263.0246634992945,MV,actr
360.5386553703291,371.10303812391584,MV,actr
186.81540332215948,197.3797860757462,MV,actr
182.13029683765208,192.6946795912388,MV,actr
218.9874003078008,229.55178306138757,MV,actr
237.5686252022336,248.1330079558203,MV,actr
149.77571937996777,160.3401021335545,MV,actr
294.846755664322,305.4111384179088,MV,actr
114.89035701706064,125.45473977064738,MV,actr
277.9050858469262,288.469468600513,MV,actr
205.7103200489124,216.27470280249915,MV,actr
305.57682190037684,316.1412046539636,MV,actr
128.48442387560652,139.04880662919325,MV,actr
289.1665032889049,299.7308860424917,MV,actr
275.5120785529877,286.07646130657446,MV,actr
280.1352656958353,290.69964844942206,MV,actr
258.5150820807313,269.079464834318,MV,actr
204.51088530206775,215.0752680556545,MV,actr
270.1590157213962,280.72339847498296,MV,actr
230.70443165892647,241.2688144125132,MV,actr
111.89068352228192,122.45506627586866,MV,actr
226.1501327127926,236.7145154663793,MV,actr
120.91800712401076,131.48238987759748,MV,actr
314.04248388555703,324.6068666391438,MV,actr
181.1643478868136,191.72873064040036,MV,actr
230.38414351632923,240.948526269916,MV,actr
157.4792679267085,168.04365068029523,MV,actr
188.3634272708234,198.9278100244101,MV,actr
200.0988160462662,210.6631987998529,MV,actr
215.17471143542545,225.73909418901215,MV,actr
182.9872304441629,193.5516131977496,MV,actr
254.3682631355119,264.93264588909864,MV,actr
253.9691518031142,264.53353455670094,MV,actr
289.537035995146,300.1014187487328,MV,actr
289.2075120224987,299.77189477608545,MV,actr
217.0094393354252,227.57382208901188,MV,actr
310.0962926177147,320.66067537130147,MV,actr
295.60075661233407,306.1651393659208,MV,actr
151.03108813142234,161.59547088500906,MV,actr
296.70708549297507,307.2714682465618,MV,actr
332.12092973278646,342.6853124863732,MV,actr
183.25058309662543,193.81496585021216,MV,actr
212.5580025911811,223.1223853447678,MV,actr
231.90012872341725,242.46451147700395,MV,actr
347.22642290689123,357.790805660478,MV,actr
238.4642074665566,249.0285902201433,MV,actr
186.37945478162376,196.9438375352105,MV,actr
178.06031761702448,188.6247003706112,MV,actr
214.77132809177596,225.33571084536263,MV,actr
228.76196600558657,239.3263487591733,MV,actr
94.75908761921436,105.3234703728011,MV,actr
357.3055853908926,367.86996814447934,MV,actr
106.0813404817327,116.64572323531944,MV,actr
209.0871186895246,219.65150144311133,MV,actr
192.4979949395105,203.06237769309723,MV,actr
187.3277368845761,197.8921196381628,MV,actr
166.39010455551167,176.9544873090984,MV,actr
208.6325501894173,219.196932943004,MV,actr
328.9213320065922,339.4857147601789,MV,actr
142.76415617019074,153.32853892377747,MV,actr
144.1211586807264,154.68554143431314,MV,actr
363.12121260966944,373.6855953632562,MV,actr
359.10901390862864,369.6733966622154,MV,actr
190.2217167215246,200.7860994751113,MV,actr
281.88970459292483,292.4540873465116,MV,actr
128.18518179081622,138.74956454440294,MV,actr
140.22777297793093,150.79215573151765,MV,actr
189.6055824023724,200.16996515595912,MV,actr
286.4527758904868,297.0171586440736,MV,actr
284.7993561635204,295.3637389171071,MV,actr
131.99170687781907,142.5560896314058,MV,actr
304.2540303098701,314.81841306345683,MV,actr
225.34308670076652,235.90746945435328,MV,actr
79.15636431846421,89.72074707205095,MV,actr
333.35479840940326,343.91918116299,MV,actr
260.80721252246883,271.3715952760556,MV,actr
251.6352036142591,262.1995863678458,MV,actr
250.14189691050257,260.7062796640893,MV,actr
175.998097335892,186.56248008947875,MV,actr
200.3458143095717,210.9101970631584,MV,actr
267.1328753872149,277.69725814080164,MV,actr
240.27160782363364,250.8359905772204,MV,actr
298.4463335453649,305.48925538108944,HV,decay
350.05621786349934,357.0991396992238,HV,decay
311.2037625798505,318.246684415575,HV,decay
331.06417733664057,338.10709917236505,HV,decay
280.5145833383442,287.5575051740687,HV,decay
269.30461315691866,276.34753499264315,HV,decay
296.2836866778253,303.3266085135498,HV,decay
344.89396994159705,351.93689177732153,HV,decay
348.4162110217151,355.4591328574396,HV,decay
75.62928410271958,82.67220593844408,HV,decay
344.45945859198025,351.50238042770474,HV,decay
289.4576024740319,296.5005243097564,HV,decay
265.2436407736984,272.2865626094229,HV,decay
212.2127761255516,219.2556979612761,HV,decay
293.7342597763238,300.7771816120483,HV,decay
335.4634790718204,342.5064009075449,HV,decay
344.730604583046,351.7735264187705,HV,decay
284.45888524284925,291.50180707857373,HV,decay
302.4428080951507,309.4857299308752,HV,decay
128.1021481202601,135.14506995598458,HV,decay
264.5315677198695,271.574489555594,HV,decay
280.7896109966385,287.832532832363,HV,decay
127.17638951579546,134.21931135151996,HV,decay
349.3471491248974,356.39007096062187,HV,decay
322.1768884827915,329.219810318516,HV,decay
210.21096074354548,217.25388257927,HV,decay
350.5735905534429,357.61651238916744,HV,decay
184.1992229405347,191.2421447762592,HV,decay
311.13117743283857,318.17409926856305,HV,decay
262.19377914256944,269.2367009782939,HV,decay
301.06695042061114,308.1098722563356,HV,decay
306.61399804449434,313.6569198802188,HV,decay
262.9958821357593,270.0388039714838,HV,decay
302.5300084663493,309.57293030207376,HV,decay
219.5531547366677,226.59607657239212,HV,decay
216.85678032911736,223.89970216484187,HV,decay
179.34056346226456,186.38348529798904,HV,decay
151.69113279196583,158.7340546276903,HV,decay
331.16216752536087,338.20508936108536,HV,decay
244.7379260972049,251.7808479329294,HV,decay
216.84922071296955,223.89214254869404,HV,decay
272.35391001526546,279.39683185098994,HV,decay
347.7120140899531,354.7549359256776,HV,decay
241.18919178484447,248.232113620569,HV,decay
347.59514739224613,354.6380692279706,HV,decay
272.4133740317188,279.45629586744326,HV,decay
258.6943864854379,265.7373083211624,HV,decay
321.2097620770409,328.2526839127654,HV,decay
79.5905550756932,86.63347691141769,HV,decay
276.1419996248939,283.1849214606184,HV,decay
130.24446488986473,137.28738672558922,HV,decay
350.5735904253671,357.6165122610916,HV,decay
339.5068562518868,346.5497780876113,HV,decay
240.4672088387421,247.51013067446655,HV,decay
201.2172314858328,208.26015332155728,HV,decay
340.00557225103165,347.04849408675614,HV,decay
179.58534734066149,186.628269176386,HV,decay
350.57359059856896,357.61651243429344,HV,decay
173.28892689402858,180.33184872975303,HV,decay
321.2302106654807,328.2731325012052,HV,decay
302.58904827010247,309.6319701058269,HV,decay
262.5433093829999,269.5862312187244,HV,decay
295.2475751999142,302.2904970356387,HV,decay
194.0829505049968,201.1258723407213,HV,decay
96.85763273080032,103.90055456652482,HV,decay
215.2282337878155,222.27115562354,HV,decay
117.2846113636106,124.32753319933512,HV,decay
215.97643872333717,223.0193605590616,HV,decay
223.9884981372118,231.03141997293628,HV,decay
199.94971237819328,206.99263421391777,HV,decay
330.66991581448895,337.71283765021343,HV,decay
250.7843013756902,257.8272232114147,HV,decay
338.30221134121723,345.3451331769417,HV,decay
54.6575573013521,61.70047913707659,HV,decay
314.99791751623616,322.04083935196064,HV,decay
113.50128251637956,120.54420435210405,HV,decay
343.5077435719906,350.5506654077151,HV,decay
250.0857438417402,257.1286656774647,HV,decay
282.25387471776384,289.2967965534883,HV,decay
350.26482497475547,357.30774681048,HV,decay
350.36024362603627,357.40316546176075,HV,decay
314.10018467672984,321.1431065124543,HV,decay
321.69510358610154,328.738025421826,HV,decay
224.62309558656423,231.66601742228872,HV,decay
350.5735906120629,357.6165124477874,HV,decay
188.0867990409621,195.1297208766866,HV,decay
344.5312660380092,351.5741878737337,HV,decay
340.4273573566263,347.4702791923508,HV,decay
263.6361307772796,270.67905261300405,HV,decay
196.55302780558895,203.59594964131347,HV,decay
340.45034558994075,347.49326742566524,HV,decay
68.4282360683675,75.471157904092,HV,decay
328.4111104928859,335.4540323286104,HV,decay
261.07947745367983,268.1223992894043,HV,decay
337.513039921266,344.5559617569905,HV,decay
308.92334064210274,315.96626247782723,HV,decay
241.5347066872134,248.57762852293789,HV,decay
329.3663584090895,336.409280244814,HV,decay
305.2574535346944,312.30037537041886,HV,decay
212.80826482879075,219.8511866645152,HV,decay
216.03015883173757,223.073080667462,LV,decay
257.4527480819001,264.49566991762464,LV,decay
239.40184533270303,246.44476716842752,LV,decay
262.77882490663575,269.82174674236023,LV,decay
172.99611337912546,180.03903521484995,LV,decay
181.71113897981377,188.75406081553825,LV,decay
184.89562980311896,191.93855163884345,LV,decay
173.61850761061189,180.6614294463364,LV,decay
130.52714899521806,137.57007083094254,LV,decay
235.7286550186019,242.7715768543264,LV,decay
125.98707680493322,133.0299986406577,LV,decay
247.8305471549188,254.8734689906433,LV,decay
181.83198069567632,188.8749025314008,LV,decay
242.6348677380653,249.6777895737898,LV,decay
242.76825458379696,249.81117641952144,LV,decay
153.65743817216352,160.700360007888,LV,decay
201.15227112889687,208.19519296462136,LV,decay
62.70509049357738,69.74801232930187,LV,decay
325.17961403531075,332.22253587103523,LV,decay
328.3929557555668,335.4358775912913,LV,decay
166.64781624934182,173.6907380850663,LV,decay
165.14516425985178,172.18808609557627,LV,decay
326.3287811634665,333.371702999191,LV,decay
151.11382385214424,158.15674568786872,LV,decay
230.96933895258903,238.0122607883135,LV,decay
188.312685940466,195.35560777619048,LV,decay
89.6385143990518,96.6814362347763,LV,decay
201.35042902693192,208.3933508626564,LV,decay
41.42994775023704,48.472869585961526,LV,decay
141.89192435888182,148.9348461946063,LV,decay
245.40922373009488,252.45214556581936,LV,decay
140.20593562452808,147.24885746025257,LV,decay
165.8705237438143,172.91344557953877,LV,decay
145.7280776664898,152.7709995022143,LV,decay
161.28512324157342,168.3280450772979,LV,decay
133.40109003303482,140.4440118687593,LV,decay
76.39111085457725,83.43403269030173,LV,decay
165.15327947520706,172.19620131093154,LV,decay
278.25700183162087,285.2999236673453,LV,decay
189.5408385775332,196.5837604132577,LV,decay
135.01920869327174,142.06213052899622,LV,decay
155.63752532773182,162.6804471634563,LV,decay
94.6193362116614,101.66225804738588,LV,decay
156.69713925811766,163.74006109384214,LV,decay
175.73409556000388,182.7770173957284,LV,decay
119.2721166340523,126.3150384697768,LV,decay
320.0693801344475,327.112301970172,LV,decay
150.26662510795396,157.30954694367844,LV,decay
151.42028870844513,158.4632105441696,LV,decay
213.6463933728573,220.6893152085818,LV,decay
270.8027375310823,277.8456593668068,LV,decay
202.10400382593696,209.14692566166147,LV,decay
248.27743819736065,255.32036003308517,LV,decay
231.6667358307785,238.70965766650292,LV,decay
306.0677826901041,313.11070452582857,LV,decay
222.88295100933183,229.92587284505635,LV,decay
198.367331608811,205.4102534445355,LV,decay
208.12943683091916,215.1723586666436,LV,decay
201.4082025891182,208.45112442484267,LV,decay
194.69626292223407,201.73918475795853,LV,decay
271.43877470517583,278.4816965409003,LV,decay
198.82378149123323,205.8667033269577,LV,decay
224.48433465215336,231.52725648787785,LV,decay
258.49353344675825,265.53645528248273,LV,decay
261.37700655587355,268.41992839159803,LV,decay
165.34676424351812,172.3896860792426,LV,decay
318.50173513418684,325.54465696991133,LV,decay
310.9145879503346,317.95750978605906,LV,decay
183.7550667804116,190.79798861613605,LV,decay
167.8903571244785,174.93327896020298,LV,decay
131.465871483194,138.50879331891852,LV,decay
173.33732114795362,180.3802429836781,LV,decay
289.4016338900408,296.44455572576527,LV,decay
308.3908803968868,315.43380223261124,LV,decay
165.3410474487113,172.38396928443578,LV,decay
84.66576198569659,91.70868382142108,LV,decay
214.51886265319945,221.5617844889239,LV,decay
258.793255506511,265.8361773422355,LV,decay
326.5665847464767,333.6095065822012,LV,decay
163.7938744129013,170.83679624862577,LV,decay
77.72984934065691,84.77277117638141,LV,decay
157.49621119955353,164.539133035278,LV,decay
168.62735598642485,175.67027782214933,LV,decay
186.41795562046585,193.4608774561903,LV,decay
289.1730182357505,296.21594007147496,LV,decay
161.18700425885962,168.2299260945841,LV,decay
266.8940444729495,273.936966308674,LV,decay
186.06607616629748,193.108998002022,LV,decay
239.5985197720981,246.64144160782257,LV,decay
240.4992899114384,247.5422117471629,LV,decay
153.76164975502414,160.80457159074862,LV,decay
69.90805225060858,76.95097408633308,LV,decay
176.3349929818746,183.37791481759908,LV,decay
104.27002954832632,111.31295138405082,MV,decay
292.64541235722453,299.688334192949,MV,decay
225.2400430158818,232.2829648516063,MV,decay
349.4708895917128,356.51381142743725,MV,decay
250.89684617920727,257.93976801493176,MV,decay
239.93073028543924,246.97365212116367,MV,decay
313.6970904929798,320.74001232870427,MV,decay
225.39968559011675,232.44260742584123,MV,decay
221.26944306986292,228.31236490558743,MV,decay
289.6876113711738,296.73053320689826,MV,decay
342.96118042887946,350.00410226460394,MV,decay
161.6976575612142,168.74057939693867,MV,decay
280.0178546449632,287.0607764806877,MV,decay
313.56743508835467,320.6103569240792,MV,decay
240.2334721272928,247.27639396301728,MV,decay
195.31656855432547,202.35949039005,MV,decay
194.54733607804943,201.5902579137739,MV,decay
192.1888716400016,199.2317934757261,MV,decay
112.68790170031616,119.73082353604065,MV,decay
350.46298063045657,357.50590246618106,MV,decay
162.3298295570328,169.3727513927573,MV,decay
243.70174608884025,250.74466792456477,MV,decay
215.0252757188364,222.06819755456087,MV,decay
256.49535983474885,263.53828167047334,MV,decay
41.42994881252731,48.4728706482518,MV,decay
253.41052147455432,260.45344331027883,MV,decay
114.48596421396476,121.52888604968923,MV,decay
257.22044963291245,264.26337146863693,MV,decay
146.29048300143225,153.3334048371567,MV,decay
296.0255053438168,303.0684271795413,MV,decay
155.8536999142385,162.89662174996295,MV,decay
295.98627422170995,303.02919605743443,MV,decay
211.1396948929893,218.18261672871375,MV,decay
206.8584390722858,213.90136090801028,MV,decay
283.861907010001,290.9048288457255,MV,decay
194.08244317886428,201.1253650145888,MV,decay
254.84289500066976,261.88581683639427,MV,decay
215.81397877279147,222.856900608516,MV,decay
139.99218500149436,147.03510683721885,MV,decay
185.0870589799694,192.1299808156939,MV,decay
168.95067412519114,175.99359596091563,MV,decay
299.3554340282603,306.3983558639848,MV,decay
102.50571132459564,109.54863316032016,MV,decay
203.00870332817755,210.05162516390203,MV,decay
216.2288293842224,223.27175121994688,MV,decay
189.1223417973927,196.1652636331172,MV,decay
204.40211737408825,211.4450392098127,MV,decay
208.97790656474,216.02082840046447,MV,decay
171.91973958425442,178.9626614199789,MV,decay
212.4265517725115,219.469473608236,MV,decay
270.7680308062476,277.81095264197205,MV,decay
269.8082140721507,276.8511359078752,MV,decay
244.978440129194,252.0213619649185,MV,decay
238.76672348733865,245.8096453230631,MV,decay
289.0139395482283,296.0568613839528,MV,decay
295.1302734451966,302.1731952809211,MV,decay
166.2348634442281,173.27778527995258,MV,decay
338.7060559141138,345.7489777498383,MV,decay
345.0572778794586,352.10019971518307,MV,decay
115.06500263840374,122.10792447412824,MV,decay
184.31336666909723,191.3562885048217,MV,decay
202.7836951209005,209.826616956625,MV,decay
288.64630006648025,295.68922190220474,MV,decay
220.2943787517571,227.3373005874816,MV,decay
221.37789459305344,228.42081642877795,MV,decay
157.20428191745228,164.24720375317676,MV,decay
187.31409186955457,194.35701370527903,MV,decay
248.46277427588527,255.5056961116098,MV,decay
113.78263256171792,120.8255543974424,MV,decay
346.6437919466744,353.68671378239884,MV,decay
75.11754596681516,82.16046780253964,MV,decay
206.80140965055125,213.8443314862757,MV,decay
207.50619826093225,214.5491200966567,MV,decay
184.8880537660815,191.930975601806,MV,decay
168.6317898657776,175.67471170150208,MV,decay
227.3086162246253,234.35153806034975,MV,decay
318.1183006267568,325.1612224624813,MV,decay
85.16032307324555,92.20324490897003,MV,decay
164.0944003631718,171.13732219889627,MV,decay
350.573590631648,357.6165124673725,MV,decay
286.928294596595,293.97121643231947,MV,decay
187.80862872657303,194.85155056229755,MV,decay
285.90629257792773,292.9492144136522,MV,decay
199.18450977047496,206.22743160619945,MV,decay
156.33164754026245,163.37456937598694,MV,decay
192.82712314212125,199.8700449778457,MV,decay
274.61391001041744,281.6568318461419,MV,decay
264.7171898448734,271.7601116805979,MV,decay
164.9917374969577,172.0346593326822,MV,decay
312.15838548630546,319.20130732202995,MV,decay
255.3341162220618,262.3770380577863,MV,decay
133.7842038052681,140.82712564099262,MV,decay
340.96563067591813,348.0085525116426,MV,decay
269.39070780784334,276.4336296435678,MV,decay
255.5865333675268,262.62945520325127,MV,decay
207.97692739685468,215.0198492325792,MV,decay
201.5219324486121,208.56485428433655,MV,decay
235.82830536904012,242.87122720476464,MV,decay
258.2692011805495,265.312123016274,MV,decay
217.26410139699493,224.30702323271944,MV,decay
276.5873189731775,283.630240808902,HV,delta
350.5735908479265,357.61651268365097,HV,delta
343.8404076614268,350.8833294971513,HV,delta
322.7373602730623,329.7802821087868,HV,delta
312.9627521062195,320.005673941944,HV,delta
248.3073801204295,255.350301956154,HV,delta
258.67087654284865,265.7137983785732,HV,delta
349.6700241412177,356.7129459769422,HV,delta
350.573594250106,357.6165160858305,HV,delta
133.92551702662095,140.96843886234544,HV,delta
349.8431006077087,356.8860224434332,HV,delta
293.09191647022067,300.13483830594515,HV,delta
214.39917404830751,221.442095884032,HV,delta
193.4891449961657,200.5320668318902,HV,delta
294.18011574128985,301.22303757701434,HV,delta
336.58983754678763,343.6327593825121,HV,delta
350.5735912107757,357.6165130465002,HV,delta
292.00002961307746,299.04295144880194,HV,delta
316.2262005370534,323.2691223727779,HV,delta
99.43732478349024,106.48024661921473,HV,delta
262.8647095689781,269.9076314047026,HV,delta
296.3515505129696,303.3944723486941,HV,delta
129.70535012627758,136.74827196200206,HV,delta
346.1155016073088,353.15842344303326,HV,delta
303.2236501293524,310.2665719650769,HV,delta
202.9906533287579,210.0335751644824,HV,delta
350.4188112426769,357.4617330784014,HV,delta
204.8770591876844,211.9199810234089,HV,delta
303.62903667505344,310.6719585107779,HV,delta
218.4911204763245,225.53404231204905,HV,delta
256.4063760817213,263.4492979174458,HV,delta
300.14453606130803,307.1874578970325,HV,delta
240.5232241149559,247.5661459506804,HV,delta
307.61023652461296,314.65315836033744,HV,delta
203.405179691864,210.4481015275885,HV,delta
256.98364978645054,264.0265716221751,HV,delta
187.45927966557696,194.50220150130144,HV,delta
203.00232585303075,210.04524768875524,HV,delta
324.79570229371365,331.83862412943813,HV,delta
248.2034119686336,255.2463338043581,HV,delta
202.27963266793287,209.32255450365736,HV,delta
299.88995928693095,306.93288112265543,HV,delta
350.5623310456108,357.6052528813353,HV,delta
263.36074707352657,270.40366890925105,HV,delta
347.4400515965954,354.4829734323199,HV,delta
282.404936307494,289.44785814321847,HV,delta
270.7165552176767,277.7594770534012,HV,delta
344.7728639701329,351.8157858058574,HV,delta
54.10654706482866,61.14946890055315,HV,delta
279.22384861392635,286.26677044965083,HV,delta
137.84715817104018,144.89008000676466,HV,delta
350.4608128063721,357.50373464209656,HV,delta
