AIC,BIC,condition,model
308.87683709608035,319.4412198496671,HV,actr
355.51420174057733,366.0785844941641,HV,actr
344.9510182633661,355.51540101695286,HV,actr
335.98306469222905,346.5474474458158,HV,actr
326.40412545356884,336.9685082071556,HV,actr
308.8909803615512,319.4553631151379,HV,actr
316.84823410878704,327.4126168623738,HV,actr
360.84205329495086,371.4064360485376,HV,actr
367.9143584514371,378.4787412050239,HV,actr
123.63888934696963,134.20327210055638,HV,actr
354.4783115723754,365.04269432596215,HV,actr
306.94018840701017,317.5045711605969,HV,actr
275.6178358784097,286.1822186319965,HV,actr
209.905562142674,220.46994489626076,HV,actr
316.2640801390895,326.82846289267627,HV,actr
351.51536222404815,362.0797449776349,HV,actr
358.06254945185793,368.6269322054447,HV,actr
315.5242380233237,326.08862077691043,HV,actr
349.54070001551486,360.1050827691016,HV,actr
162.778413174621,173.34279592820772,HV,actr
271.5661910606533,282.13057381424005,HV,actr
308.0161420715364,318.5805248251231,HV,actr
153.5441691504344,164.10855190402114,HV,actr
345.39325485190534,355.9576376054921,HV,actr
310.54032806854667,321.1047108221334,HV,actr
267.2412769188553,277.80565967244206,HV,actr
351.0806830705378,361.6450658241246,HV,actr
239.87519142353756,250.43957417712423,HV,actr
315.2168504450732,325.78123319865995,HV,actr
229.6139237753917,240.1783065289784,HV,actr
250.6937107646088,261.25809351819555,HV,actr
294.6543582804111,305.21874103399784,HV,actr
309.216187254668,319.7805700082548,HV,actr
299.3886975279791,309.95308028156586,HV,actr
238.63436939368336,249.19875214727008,HV,actr
242.048864202806,252.61324695639277,HV,actr
188.64279353490448,199.2071762884912,HV,actr
216.56338575345984,227.12776850704657,HV,actr
344.79260362524093,355.3569863788277,HV,actr
270.26861242300646,280.8329951765932,HV,actr
262.037278773976,272.6016615275627,HV,actr
304.2677368947638,314.83211964835056,HV,actr
358.3583925696515,368.9227753232383,HV,actr
281.2751110289045,291.8394937824913,HV,actr
350.7629666436328,361.3273493972196,HV,actr
274.0089963518188,284.57337910540554,HV,actr
326.03899305355463,336.6033758071414,HV,actr
341.9908802496036,352.5552630031904,HV,actr
54.17720629302095,64.74158904660769,HV,actr
289.5328803774862,300.09726313107296,HV,actr
196.27980990422003,206.8441926578068,HV,actr
361.5052047905844,372.0695875441712,HV,actr
340.41657128911936,350.9809540427061,HV,actr
238.4349687431508,248.99935149673755,HV,actr
228.3753011385565,238.9396838921432,HV,actr
365.8277207313977,376.3921034849845,HV,actr
285.16193640511074,295.7263191586975,HV,actr
350.4688321434586,361.03321489704535,HV,actr
263.12975741915784,273.6941401727446,HV,actr
342.27026187075603,352.8346446243428,HV,actr
309.7321360062698,320.2965187598565,HV,actr
282.06667840780824,292.631061161395,HV,actr
305.6209480170665,316.18533077065325,HV,actr
230.4349577679349,240.9993405215216,HV,actr
117.3010742871659,127.86545704075264,HV,actr
322.3111620572193,332.87554481080605,HV,actr
219.72581800575597,230.29020075934267,HV,actr
213.47766034256625,224.04204309615295,HV,actr
259.7725491322441,270.33693188583084,HV,actr
246.90398481810732,257.4683675716941,HV,actr
351.4371486191502,362.00153137273696,HV,actr
278.96699483435816,289.5313775879449,HV,actr
367.0849953833575,377.6493781369443,HV,actr
81.59743858377472,92.16182133736146,HV,actr
331.2494000384636,341.81378279205035,HV,actr
52.73775838890338,63.30214114249012,HV,actr
341.2850706891344,351.8494534427211,HV,actr
294.7100370682006,305.2744198217874,HV,actr
322.1045646135802,332.66894736716694,HV,actr
352.46116906526186,363.0255518188486,HV,actr
349.6235434758124,360.1879262293991,HV,actr
352.55723120399176,363.1216139575785,HV,actr
332.929531196176,343.4939139497627,HV,actr
245.9176391423827,256.48202189596947,HV,actr
349.1329597876064,359.6973425411932,HV,actr
216.2327836596161,226.79716641320283,HV,actr
350.3916522644521,360.9560350180389,HV,actr
334.585667442016,345.1500501956028,HV,actr
249.13716841874637,259.7015511723331,HV,actr
263.2066944735952,273.77107722718193,HV,actr
336.9543662930602,347.518749046647,HV,actr
76.33976670323982,86.90414945682656,HV,actr
324.9513933014264,335.51577605501313,HV,actr
255.39035813995423,265.954740893541,HV,actr
341.26800074744847,351.8323835010352,HV,actr
322.0169937328754,332.58137648646215,HV,actr
330.69656487328734,341.2609476268741,HV,actr
279.7874584879291,290.35184124151584,HV,actr
317.0971431754319,327.66152592901864,HV,actr
221.26341874174275,231.82780149532948,HV,actr
174.8516174688808,185.41600022246752,LV,actr
289.77296014061403,300.3373428942008,LV,actr
175.82456551347462,186.38894826706132,LV,actr
204.41717861244427,214.981561366031,LV,actr
176.45477497605327,187.01915772964,LV,actr
164.71854578048544,175.28292853407217,LV,actr
209.03912791030817,219.6035106638949,LV,actr
191.976698977656,202.54108173124268,LV,actr
164.0910344503719,174.65541720395862,LV,actr
224.40379044090784,234.96817319449457,LV,actr
126.08124018986258,136.64562294344933,LV,actr
153.58430153032418,164.1486842839109,LV,actr
129.94765838960626,140.51204114319302,LV,actr
229.2164866670299,239.78086942061665,LV,actr
250.05277477316503,260.6171575267518,LV,actr
169.9435547008515,180.50793745443823,LV,actr
164.48631351817912,175.05069627176584,LV,actr
135.97191925407245,146.53630200765917,LV,actr
318.7341933914396,329.29857614502635,LV,actr
316.0585112421198,326.62289399570653,LV,actr
197.5694377992137,208.1338205528004,LV,actr
142.87782176025868,153.4422045138454,LV,actr
322.16634233620624,332.730725089793,LV,actr
113.74548749600427,124.309870249591,LV,actr
294.9941425333403,305.5585252869271,LV,actr
122.9222176101324,133.48660036371913,LV,actr
89.75823982416848,100.32262257775524,LV,actr
215.81435346270467,226.3787362162914,LV,actr
341.34396191782014,351.9083446714069,LV,actr
155.71839607967485,166.28277883326157,LV,actr
255.27135096777337,265.8357337213601,LV,actr
134.55127083038735,145.11565358397408,LV,actr
127.92736786690196,138.4917506204887,LV,actr
150.34565723982035,160.91003999340708,LV,actr
147.46871791545408,158.0331006690408,LV,actr
81.70941701602935,92.27379976961608,LV,actr
123.26860177585114,133.83298452943788,LV,actr
